Original Air Date,Season Number,Episode Name,US Viewership
2009-08-09,1,s1ep1,4.15
2009-08-16,1,s1ep2,5.59
2009-08-23,1,s1ep3,5.45
2009-08-30,1,s1ep4,4.89
2009-09-06,1,s1ep5,3.35
2009-09-13,1,s1ep6,4.2
2009-09-29,1,s1ep7,4.75
2009-10-06,1,s1ep8,5.15
2009-10-13,1,s1ep9,5.24
2009-10-20,1,s1ep10,5.92
2010-01-08,1,s1ep11,3.94
2010-01-15,1,s1ep12,4.43
2010-01-29,1,s1ep13,4.4
2010-02-05,1,s1ep14,4.65
2011-03-20,2,s2ep1,6.13
2011-03-25,2,s2ep2,4.65
2011-04-01,2,s2ep3,4.87
2011-04-08,2,s2ep4,4.67
2011-04-15,2,s2ep5,5.28
2011-04-22,2,s2ep6,4.83
2011-04-29,2,s2ep7,4.58
2011-05-06,2,s2ep8,4.45
2011-05-13,2,s2ep9,4.99
2012-01-20,3,s3ep1,6.25
2012-01-27,3,s3ep2,5.44
2012-02-03,3,s3ep3,5.16
2012-02-10,3,s3ep4,5.89
2012-02-17,3,s3ep5,5.69
2012-02-24,3,s3ep6,5.86
2012-03-02,3,s3ep7,5.69
2012-03-09,3,s3ep8,5.11
2012-03-16,3,s3ep9,5.97
2012-03-23,3,s3ep10,5.78
2012-04-13,3,s3ep11,5.49
2012-04-27,3,s3ep12,5.42
2012-05-04,3,s3ep13,6.06
2012-05-11,3,s3ep14,5.59
2012-05-18,3,s3ep15,5.52
2012-09-14,4,s4ep1,6.4
2012-09-21,4,s4ep2,5.97
2012-09-28,4,s4ep3,6.05
2012-10-05,4,s4ep4,6.15
2012-10-12,4,s4ep5,6.48
2012-10-19,4,s4ep6,7.08
2012-10-26,4,s4ep7,6.84
2012-11-02,4,s4ep8,7.44
2012-11-09,4,s4ep9,6.69
2012-11-16,4,s4ep10,6.82
2012-12-04,4,s4ep11,6.89
2013-01-04,4,s4ep12,6.42
2013-01-11,4,s4ep13,6.87
2013-02-01,4,s4ep14,6.73
2013-02-08,4,s4ep15,6.13
2013-02-15,4,s4ep16,6.51
2013-02-22,4,s4ep17,6.51
