Original Air Date,Season Number,Episode Name,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
2009-08-09,1,s1ep1,50000.0,55.0,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-09,1,s1ep1,230000.0,25.0,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,230000.0,25.0,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-09,1,s1ep1,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-09,1,s1ep1,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-09,1,s1ep1,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-16,1,s1ep2,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,250000.0,25.0,Did not Invest,Did not Invest,250000.0,25.0,Present,Not present,Not present,Present,Present,Present
2009-08-16,1,s1ep2,50000.0,20.0,50000.0,20.0,Did not Invest,Did not Invest,50000.0,20.0,50000.0,20.0,50000.0,20.0,Present,Not present,Not present,Present,Present,Present
2009-08-16,1,s1ep2,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-16,1,s1ep2,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-16,1,s1ep2,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-23,1,s1ep3,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-23,1,s1ep3,250000.0,50.0,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-23,1,s1ep3,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-23,1,s1ep3,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-23,1,s1ep3,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-30,1,s1ep4,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,100000.0,25.0,Did not Invest,Did not Invest,100000.0,25.0,Present,Not present,Not present,Present,Present,Present
2009-08-30,1,s1ep4,35000.0,40.0,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-30,1,s1ep4,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-30,1,s1ep4,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-08-30,1,s1ep4,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Present,Not present,Not present,Present,Present,Present
2009-09-06,1,s1ep5,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,Did not Invest,40000.0,25.5,Did not Invest,Did not Invest,40000.0,25.5,Present,Not present,Not present,Present,Present,Present
